AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP;;;;;;;;;;;
SUPERINTENDÊNCIA DE DEFESA DA CONCORRÊNCIA;;;;;;;;;;;
LEVANTAMENTO DE PREÇOS DE COMBUSTÍVEIS;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
INTERVALO DE TEMPO: SEMANAL;;;;;;;;;;;
COMBUSTÍVEL: TODOS;;;;;;;;;;;
TIPO RELATÓRIO: ESTADOS;;;;OBS: ATUALMENTE, O PRODUTO 'ÓLEO DIESEL' SE REFERE AO ÓLEO DIESEL B S500 COMUM.;;;;;;;
;;;;;;;;;;;
DATA INICIAL;DATA FINAL;REGIAO;ESTADOS;PRODUTO;NÚMERO DE POSTOS PESQUISADOS;UNIDADE DE MEDIDA;PREÇO MÉDIO REVENDA;DESVIO PADRÃO REVENDA;PREÇO MÍNIMO REVENDA;PREÇO MÁXIMO REVENDA;COEF DE VARIAÇÃO REVENDA
24/08/2025;30/08/2025;NORTE;ACRE;ETANOL HIDRATADO;3;R$/l;5,99;0,075;5,95;6,08;0,013
24/08/2025;30/08/2025;NORDESTE;ALAGOAS;ETANOL HIDRATADO;22;R$/l;5,02;0,109;4,99;5,49;0,022
24/08/2025;30/08/2025;NORTE;AMAPA;ETANOL HIDRATADO;4;R$/l;5,43;0,127;5,33;5,59;0,023
24/08/2025;30/08/2025;NORTE;AMAZONAS;ETANOL HIDRATADO;32;R$/l;5,49;0,026;5,47;5,59;0,005
24/08/2025;30/08/2025;NORDESTE;BAHIA;ETANOL HIDRATADO;100;R$/l;4,75;0,240;4,19;5,19;0,051
24/08/2025;30/08/2025;NORDESTE;CEARA;ETANOL HIDRATADO;103;R$/l;5,02;0,237;4,59;5,62;0,047
24/08/2025;30/08/2025;CENTRO OESTE;DISTRITO FEDERAL;ETANOL HIDRATADO;21;R$/l;4,53;0,162;4,25;4,76;0,036
24/08/2025;30/08/2025;SUDESTE;ESPIRITO SANTO;ETANOL HIDRATADO;46;R$/l;4,37;0,203;4,05;4,99;0,046
24/08/2025;30/08/2025;CENTRO OESTE;GOIAS;ETANOL HIDRATADO;119;R$/l;3,94;0,293;3,59;4,79;0,074
24/08/2025;30/08/2025;NORDESTE;MARANHAO;ETANOL HIDRATADO;47;R$/l;4,73;0,350;4,45;5,79;0,074
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO;ETANOL HIDRATADO;69;R$/l;4,15;0,123;3,63;4,31;0,030
24/08/2025;30/08/2025;CENTRO OESTE;MATO GROSSO DO SUL;ETANOL HIDRATADO;24;R$/l;3,86;0,361;3,55;4,92;0,093
24/08/2025;30/08/2025;SUDESTE;MINAS GERAIS;ETANOL HIDRATADO;198;R$/l;4,17;0,287;3,68;4,89;0,069
24/08/2025;30/08/2025;NORTE;PARA;ETANOL HIDRATADO;45;R$/l;4,76;0,247;4,29;5,29;0,052
24/08/2025;30/08/2025;NORDESTE;PARAIBA;ETANOL HIDRATADO;46;R$/l;4,49;0,139;4,37;4,89;0,031
24/08/2025;30/08/2025;SUL;PARANA;ETANOL HIDRATADO;199;R$/l;4,39;0,310;3,69;4,94;0,071
24/08/2025;30/08/2025;NORDESTE;PERNAMBUCO;ETANOL HIDRATADO;81;R$/l;4,84;0,276;4,34;6,49;0,057
24/08/2025;30/08/2025;NORDESTE;PIAUI;ETANOL HIDRATADO;38;R$/l;4,53;0,218;4,29;5,20;0,048
24/08/2025;30/08/2025;SUDESTE;RIO DE JANEIRO;ETANOL HIDRATADO;246;R$/l;4,42;0,342;3,89;5,49;0,077
24/08/2025;30/08/2025;NORDESTE;RIO GRANDE DO NORTE;ETANOL HIDRATADO;42;R$/l;5,09;0,237;4,79;5,60;0,047
24/08/2025;30/08/2025;SUL;RIO GRANDE DO SUL;ETANOL HIDRATADO;122;R$/l;4,73;0,375;4,15;5,99;0,079
24/08/2025;30/08/2025;NORTE;RONDONIA;ETANOL HIDRATADO;25;R$/l;4,96;0,304;4,69;5,99;0,061
24/08/2025;30/08/2025;NORTE;RORAIMA;ETANOL HIDRATADO;7;R$/l;5,15;0,019;5,15;5,20;0,004
24/08/2025;30/08/2025;SUL;SANTA CATARINA;ETANOL HIDRATADO;108;R$/l;4,59;0,301;4,09;5,49;0,066
24/08/2025;30/08/2025;SUDESTE;SAO PAULO;ETANOL HIDRATADO;1128;R$/l;3,98;0,356;3,19;6,29;0,089
24/08/2025;30/08/2025;NORDESTE;SERGIPE;ETANOL HIDRATADO;10;R$/l;4,95;0,041;4,90;4,99;0,008
24/08/2025;30/08/2025;NORTE;TOCANTINS;ETANOL HIDRATADO;30;R$/l;4,77;0,206;4,37;5,19;0,043
